Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%,,,,
0-20%,Minor,0.9987,0.0013,0,0,0,,,,
0-20%,Significant,0.9926,0.0074,0,0,0,,,,
21-40%,Minor,0.0386,0.9614,0,0,0,,,,
21-40%,Significant,0.0144,0.9856,0,0,0,,,,
41-60%,Minor,0,0.004,0.9645,0.0315,0,,,,
41-60%,Significant,0,0.0019,0.9359,0.0622,0,,,,
61-80%,Minor,0,0,0.0202,0.9268,0.053,,,,
61-80%,Significant,0,0,0.0129,0.8936,0.0935,,,,
81-100%,Minor,0,0,0.0027,0.0793,0.918,,,,
81-100%,Significant,0,0,0.0051,0.0731,0.9218,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
