Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%,,,,,,,
0-20%,Minor,0.9851,0.0149,0,0,0,,,,,,,
0-20%,Significant,0.8497,0.1503,0,0,0,,,,,,,
21-40%,Minor,0.7291,0.2709,0,0,0,,,,,,,
21-40%,Significant,0.3504,0.6496,0,0,0,,,,,,,
41-60%,Minor,0.14,0.25,0.606,0.004,0,,,,,,,
41-60%,Significant,0.1,0.2474,0.623,0.0296,0,,,,,,,
61-80%,Minor,0.11,0.12,0.3298,0.44,0.0002,,,,,,,
61-80%,Significant,0.1,0.126,0.2311,0.54,0.0029,,,,,,,
81-100%,Minor,0.05,0.059,0.11,0.26,0.521,,,,,,,
81-100%,Significant,0.0231,0.0539,0.0907,0.1561,0.6762,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
