Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%,
Low,Low,No,0.3486,0.4023,0.1872,0.0568,0.0051,1
Low,Low,Yes,0.2964,0.3723,0.2346,0.0867,0.01,1
Low,Medium,No,0.157,0.3344,0.3087,0.168,0.0319,1
Low,Medium,Yes,0.1092,0.2953,0.3276,0.2153,0.0526,1
Low,High,No,0.0109,0.0836,0.2175,0.3556,0.3324,1
Low,High,Yes,0.0061,0.0567,0.1727,0.3362,0.4283,1
Medium,Low,No,0.2558,0.3695,0.2565,0.1045,0.0137,1
Medium,Low,Yes,0.1862,0.35,0.294,0.1454,0.0244,1
Medium,Medium,No,0.09,0.273,0.3313,0.2393,0.0664,1
Medium,Medium,Yes,0.0597,0.226,0.3275,0.2848,0.102,1
Medium,High,No,0.0045,0.0457,0.1504,0.3194,0.48,1
Medium,High,Yes,0.0023,0.0283,0.1084,0.2732,0.5878,1
High,Low,No,0.1092,0.2953,0.3275,0.2154,0.0526,1
High,Low,Yes,0.0736,0.2498,0.3313,0.2626,0.0827,1
High,Medium,No,0.0304,0.1575,0.2951,0.3376,0.1794,1
High,Medium,Yes,0.0186,0.1174,0.2597,0.3556,0.2487,1
High,High,No,0.0008,0.0117,0.056,0.1814,0.7501,1
High,High,Yes,0.0003,0.0055,0.0301,0.115,0.8491,1
